DC,BANNER ,ITEM,TYPE,4,5,6,7,8,9
6042,SAMS,HAM,CASE,2097,969,2056,1242,0,0
6042,WM,HAM,CASE,538,800,800,1050,1341,270
6047,SAMS,HAM,CASE,1579,734,1568,957,0,0
6047,WM,HAM,CASE,1339,2012,2012,2658,3362,680
6055,SAMS,HAM,CASE,2564,1231,2506,1541,0,0
6055,WM,HAM,CASE,943,1399,1399,1846,2354,469
6056,SAMS,HAM,CASE,1741,651,1610,943,0,0
6056,WM,HAM,CASE,408,589,589,787,1001,179
6057,SAMS,HAM,CASE,1553,723,1528,941,0,0
6057,WM,HAM,CASE,761,1112,1112,1477,1879,369
6059,SAMS,HAM,CASE,2325,1168,2288,1407,0,0
6059,WM,HAM,CASE,714,1053,1053,1379,1773,344
6062,WM,HAM,CASE,1325,1968,1968,2612,3311,667
6064,WM,HAM,CASE,654,980,980,1284,1637,315
6065,SAMS,HAM,CASE,2251,1096,2251,1399,0,0
6065,WM,HAM,CASE,664,1000,1000,1324,1689,339
6071,WM,HAM,CASE,1174,1736,1736,2303,2938,590
6072,WM,HAM,CASE,1032,1539,1539,2026,2577,521
6073,WM,HAM,CASE,1214,1805,1805,2387,3046,602
6074,SAMS,HAM,CASE,1891,942,1880,1165,0,0
6074,WM,HAM,CASE,1443,2156,2156,2840,3603,726
6077,WM,HAM,CASE,696,1028,1028,1344,1726,339
6082,WM,HAM,CASE,1262,1863,1863,2454,3132,599
6083,WM,HAM,CASE,688,1011,1011,1331,1760,286
6084,WM,HAM,CASE,648,940,940,1249,1598,313
6085,WM,HAM,CASE,981,1444,1444,1917,2440,493
6090,WM,HAM,CASE,1238,1846,1846,2438,3098,635
6091,SAMS,HAM,CASE,2229,1095,2211,1361,0,0
6091,WM,HAM,CASE,804,1179,1179,1578,2013,393
6095,WM,HAM,CASE,1111,1645,1645,2173,2774,554
6096,SAMS,HAM,CASE,1395,625,1385,846,0,0
6096,WM,HAM,CASE,1392,2061,2061,2734,3464,697
6097,WM,HAM,CASE,1539,2298,2298,3052,3858,779
6099,WM,HAM,CASE,1235,1839,1839,2431,3095,620
6858,WM,HAM,CASE,1356,2015,2015,2675,3397,676
7010,WM,HAM,CASE,810,1193,1193,1580,2026,379
7012,SAMS,HAM,CASE,2874,1454,2859,1780,0,0
7012,WM,HAM,CASE,1227,1832,1832,2425,3062,623
7013,WM,HAM,CASE,1107,1646,1646,2168,2769,549
7014,WM,HAM,CASE,1308,1953,1953,2594,3287,671
7015,WM,HAM,CASE,1026,1530,1530,2007,2574,504
7016,WM,HAM,CASE,1211,1806,1806,2387,3042,606
7017,WM,HAM,CASE,2044,3031,3031,4035,5090,1016
7018,WM,HAM,CASE,1109,1645,1645,2176,2767,549
7019,WM,HAM,CASE,1304,1905,1905,2530,3224,640
7021,WM,HAM,CASE,1347,2006,2006,2662,3380,686
7023,WM,HAM,CASE,811,1210,1210,1585,2034,407
7024,SAMS,HAM,CASE,1691,805,1664,1017,0,0
7024,WM,HAM,CASE,1007,1490,1490,1967,2512,506
7030,SAMS,HAM,CASE,1855,877,1855,1147,0,0
7030,WM,HAM,CASE,1174,1740,1740,2312,2939,585
7048,WM,HAM,CASE,809,1211,1211,1599,2035,417
7055,WM,HAM,CASE,1320,1954,1954,2569,3274,672
7077,SAMS,HAM,CASE,2093,987,2072,1281,0,0
7077,WM,HAM,CASE,983,1468,1468,1956,2474,491
7079,SAMS,HAM,CASE,2165,1002,2165,1333,0,0
7079,WM,HAM,CASE,923,1354,1354,1778,2285,446
7084,WM,HAM,CASE,694,1005,1005,1319,1681,320
8397,SAMS,HAM,CASE,4534,2249,4511,2807,0,0
8851,SAMS,HAM,CASE,3956,1884,3743,2322,0,0
8851,WM,HAM,CASE,759,1114,1114,1480,1876,363
8852,WM,HAM,CASE,608,887,887,1154,1506,289
