Store Number,Categorization
286,May/June
591,May/June
975,May/June
1001,May/June
1221,May/June
1243,May/June
3404,May/June
3409,May/June
5628,May/June
107,May/June
242,May/June
286,May/June
422,May/June
466,May/June
591,May/June
603,May/June
642,May/June
677,May/June
849,May/June
881,May/June
884,May/June
975,May/June
1001,May/June
1143,May/June
1188,May/June
1221,May/June
1243,May/June
1254,May/June
1287,May/June
1789,May/June
1819,May/June
1883,May/June
1940,May/June
1999,May/June
2107,May/June
2122,May/June
2166,May/June
2386,May/June
2439,May/June
2453,May/June
2477,May/June
2522,May/June
2654,May/June
2724,May/June
2757,May/June
3274,May/June
3339,May/June
3404,May/June
3409,May/June
3429,May/June
3872,May/June
4111,May/June
4303,May/June
4506,May/June
4849,May/June
5215,May/June
5287,May/June
5317,May/June
5355,May/June
5481,May/June
5628,May/June
677,May/June
4303,May/June
1200,May/June
1376,May/June
1798,May/June
3810,May/June
5190,May/June
7199,May/June
5793,May/June
1200,May/June
1376,May/June
1798,May/June
3810,May/June
5190,May/June
7199,May/June
629,May/June
1624,May/June
2240,May/June
5713,May/June
2240,May/June
629,May/June
1624,May/June
5713,May/June
22,June
23,June
29,June
43,June
175,June
184,June
188,June
205,June
321,June
329,June
330,June
384,June
392,June
429,June
521,June
553,June
577,June
581,June
600,June
637,June
638,June
748,June
815,June
913,June
923,June
989,June
999,June
1010,June
1016,June
1017,June
1087,June
1149,June
1188,June
1206,June
1240,June
1275,June
1301,June
1302,June
1352,June
1400,June
1463,June
1516,June
1568,June
1571,June
1638,June
1646,June
1663,June
1696,June
1754,June
1769,June
1770,June
1781,June
1842,June
1872,June
1886,June
1896,June
1899,June
1907,June
1967,June
1977,June
1980,June
1999,June
2004,June
2010,June
2028,June
2055,June
2084,June
2094,June
2097,June
2107,June
2117,June
2169,June
2185,June
2196,June
2205,June
2240,June
2270,June
2284,June
2338,June
2355,June
2358,June
2369,June
2371,June
2386,June
2399,June
2417,June
2436,June
2438,June
2439,June
2533,June
2577,June
2651,June
2757,June
3056,June
3232,June
3273,June
3585,June
3596,June
3742,June
3778,June
4333,June
4395,June
4412,June
4479,June
4483,June
4499,June
4520,June
5232,June
5260,June
7009,June
